id,popularity,video,vote_count,vote_average,title,release_date,original_language,original_title,backdrop_path,adult,overview,poster_path
11,97.667,0,14583,8.2,스타워즈 에피소드 4: 새로운 희망,1997-04-12,en,Star Wars,https://image.tmdb.org/t/p/w500/zqkmTXzjkAgXmEWLRsY4UpTWCeo.jpg,0,"공화국이 붕괴하고 제국이 수립된 뒤 20년, 제다이 기사단은 전멸하고 강력한 제국군의 횡포에 은하계는 공포에 휩싸여 있다. 그러던 중 공화국 재건을 노리는 반란군이 제국군의 비밀병기 데스스타 설계도를 훔쳐 달아나고 제국군은 이를 쫓는다. 하지만 결국 제국의 손에 붙잡히게 된 그들은 드로이드 R2-D2에 설계도를 넣어서 R2의 친구 C-3PO와 탈출시키는 데 성공하고, 두 드로이드 콤비는 타투인의 시골 마을에서 숙부와 함께 살고 있던 청년 루크 스카이워커에게 오게 되는데...",https://image.tmdb.org/t/p/w500/7XFfURIFCJxN1mfBg0SAjk5yGzg.jpg
12,36.666,0,14241,7.8,니모를 찾아서,2003-06-06,en,Finding Nemo,https://image.tmdb.org/t/p/w500/dFYguAfeVt19qAbzJ5mArn7DEJw.jpg,0,"광대어 말린은 아내 코랄과 2세들의 부화를 기다리던 중 상어의 습격을 받는다. 알을 보호하려던 아내는 행방불명되고, 유일하게 살아남은 아기에게 말린은 니모라는 이름을 붙인다. 사건 이후 큰 바다를 무조건 겁내게 된 말린은 니모를 과보호한다. 하지만 니모는 등교 첫날 잠수부에게 납치돼 시드니에 있는 치과의사의 수족관에 끌려가고, 슬픔으로 혼비백산한 아빠 말린은 평소의 심약함을 잊고니모를 찾아나선다. 단기기억상실증을 지닌 명랑한 물고기 도리의 도움으로 상어, 심해어, 해파리의 위협을 뚫고 동호주 해류로 향하는 동안, 니모는 수족관의 새 친구들과 탈출을 모의한다.",https://image.tmdb.org/t/p/w500/9ViCYfZ0whpwtKbM2WJP5PfsG2x.jpg
13,41.243,0,19248,8.5,포레스트 검프,1994-10-15,en,Forrest Gump,https://image.tmdb.org/t/p/w500/7c9UVPPiTPltouxRVY6N9uugaVA.jpg,0,"불편한 다리, 남들보다 조금 떨어지는 지능을 가진 포레스트 검프는 헌신적인 어머니의 보살핌과 첫사랑 제니와의 만남으로 편견과 괴롭힘 속에서도 따뜻한 마음을 지니고 성장한다. 또래들의 괴롭힘을 피해 도망치던 포레스트는 누구보다 빠르게 달릴 수 있는 자신의 재능을 깨닫는다. 그의 재능을 알아 본 대학에서 그를 미식축구 선수로 발탁하고, 졸업 후에도 뛰어난 신체능력으로 군에 들어가 무공훈장을 수여받는 등 탄탄한 인생 가도에 오르게 된 포레스트. 하지만 어머니가 병에 걸려 죽음을 맞이하고, 첫사랑 제니 역시 그의 곁을 떠나가며 다시 한 번 인생의 전환점을 맞이하게 되는데...",https://image.tmdb.org/t/p/w500/8UUZ2oV1OjYd55BMZWaQrcRPTGN.jpg
14,31.524,0,8590,8.0,아메리칸 뷰티,2000-02-26,en,American Beauty,https://image.tmdb.org/t/p/w500/kEA3iOrV1DpHQ3Z01Q28y2Qoc89.jpg,0,"레스터 번햄은 좌절감으로 가득 찬 잡지사 직원으로 하루하루를 무기력 속에서 살아간다. 부동산 소개업자로 일하는 아내 케롤린은 수완가로 자처하고 완벽주의를 외치며 물질만능의 길을 추구한다. 둘의 결혼생활은 단지 남들에게 과시하기 위한 형식뿐이고, 외동딸 제인은 아버지가 사라져 주길 바랄 정도로 미워한다. 제인의 학교를 방문한 레스터는 딸의 되바라진 친구 안젤라를 보는 순간 한 눈에 욕정을 품게 된다. 레스터는 기억 속에서 이미 사라진 자신의 소년기를 회복하려는 듯이 자유를 추구하는데...",https://image.tmdb.org/t/p/w500/osdwif0XkFgalOCPksm4Yvczyzc.jpg
16,11.756,0,1097,7.9,어둠 속의 댄서,2001-02-24,en,Dancer in the Dark,https://image.tmdb.org/t/p/w500/ikR2qy9xJCHX7M8i5rcvuNfdYXs.jpg,0,체코에서 이민 온 가난한 노동자 셀마(비욕)는 유전병으로 시력을 잃어 가면서도 뮤지컬 같은 세상을 꿈꾸며 살아 간다. 그녀의 유일한 희망은 같은 병을 앓는 아들 진이 장님이 되기 전에 눈을 수술해 주는 것.  셀마는 밤낮 없이 일해 수술비를 거의 다 모으지만 믿었던 이웃이자 경찰인 빌(데이비드 모스)이 그녀의 돈을 훔쳐 간다. 절망한 셀마는 빌과 다투다 권총으로 그를 살해하고 만다. 빌은 죄책감 때문에 셀마에게 자신을 죽여달라고 애원했었지만 누구도 셀마의 말을 믿어 주지 않는데...,https://image.tmdb.org/t/p/w500/lZ5f50njL6owdEr0xiZQT02q0yN.jpg
22,60.47,0,15199,7.7,캐리비안의 해적: 블랙펄의 저주,2003-09-10,en,Pirates of the Caribbean: The Curse of the Black Pearl,https://image.tmdb.org/t/p/w500/7yxjg8pvp3JuqguUaJPYTma6Z7t.jpg,0,"잭 스패로우는 10년 전의 반란 사건으로 자신의 배 블랙펄을 빼앗긴 해적 선장이다. 혼자 대양을 떠돌던 그는 자메이카의 로열포트에 이르러 유령선처럼 변해버린 블랙펄과 재회하게 된다. 아즈텍의 황금을 훔친 블랙펄의 선원들은 영원히 죽지 못하는 저주에 걸린 처지. 보물을 모두 제자리에 돌려놓고 피의 제물을 바쳐야만 고대 신들이 내린 저주를 풀 수 있다. 그들은 로열포트를 습격해 아즈텍의 마지막 목걸이를 가진 총독의 딸 엘리자베스를 납치하고, 엘리자베스를 사랑하는 어린 시절 친구 윌과 스패로우는 그 뒤를 쫓는데...",https://image.tmdb.org/t/p/w500/3ovejwQO4fKOWx4VgGBJeT8CKCn.jpg
24,32.457,0,12460,8.0,킬 빌: 1부,2003-11-21,en,Kill Bill: Vol. 1,https://image.tmdb.org/t/p/w500/lVy5Zqcty2NfemqKYbVJfdg44rK.jpg,0,"어느 한적한 오후, 행복한 결혼식을 앞둔 더 브라이드와 그녀의 신랑, 그리고 모든 하객들이 의문의 조직에 의해 처참하게 살해당한다. 그로부터 5년 후, 코마상태의 더 브라이드는 죽음 직전까지 갔다가 어렵게 깨어난다. 그리고 피로 얼룩진 과거가 그녀의 뇌리에 스치면서 서서히 복수의 리스트를 작성하기 시작한다. 그녀는 전세계적으로 악명높은 살인조직 데들리 바이퍼의 일원이었고, 조직의 보스인 빌을 포함한 5명의 일원이 새로운 삶을 앞둔 그녀를 처참하게 무너뜨렸음이 밝혀지자, 그녀는 텍사스, 멕시코, 일본을 방문하며 가장 잔인한 복수를 실행하게 되는데...",https://image.tmdb.org/t/p/w500/lH82lk837fACeVZUmqHH0UiEeWL.jpg
28,27.589,0,5318,8.3,지옥의 묵시록,1988-06-04,en,Apocalypse Now,https://image.tmdb.org/t/p/w500/9Qs9oyn4iE8QtQjGZ0Hp2WyYNXT.jpg,0,"미 특수부대의 윌라드 대위는 고향에 돌아갔다가 아내가 내민 이혼장에 도장을 찍고, 다시 정글로 돌아온다. 혼돈과 막연한 갈망에 시달리던 윌라드에게 떨어진 임무는 캄보디아에 자신의 왕국을 건설한 커츠 대령을 암살하라는 것.  커츠 대령은 한때 가장 뛰어난 군인으로 인정받았으나 미국의 통제를 벗어나 캄보디아에서 독자적인 왕국을 거느리고 있다. 윌라드 대위는 4명의 병사들과 함께 커츠 대령을 찾아 나선다. 폭염과 광기로 가득한 전투를 겪으면서 두려움과 공포로 이성을 잃어가던 그들은 마침내 커츠 대령의 왕국에 도착한다. 그리고 그곳에서 윌라드 대위는 상상을 초월하는 진실을 마주하게 되는데...",https://image.tmdb.org/t/p/w500/giP5yeJBrsqglkM05pbiTyRsoBa.jpg
33,18.817,0,2626,7.9,용서받지 못한 자,1993-03-12,en,Unforgiven,https://image.tmdb.org/t/p/w500/7O3ocR8n2ItqIgcxE1CY8ZHTJsz.jpg,0,"늙은 총잡이 빌 머니(클린트 이스트우드)는 아내 없이 자식들과 돼지를 키우며 어렵게 산다. 어느 날 두 총잡이가 창녀의 얼굴을 흉하게 만드는 사건이 일어난다. 보안관 리틀 빌 대거트(진 핵크만)는 약간의 벌금으로 범인들을 풀어주고, 이에 분개한 창녀들은 현상금을 걸어 총잡이 악당들을 잡고자 한다. 젊은 총잡이 스코필드(제임스 울벳)는 현상금을 위해 머니에게 협조를 구한다.머니는 오랜 동료인 레드 로건(모건 프리먼)까지 합세해 함께 떠난다. 보안관 빌은 총잡이들의 말썽을 막으려다 머니의 동료가 보안관 일행에 의해 죽는다. 머니는 복수를 결심하고 보안관과의 싸움을 시작하는데...",https://image.tmdb.org/t/p/w500/tlJuznSuaX4XsRsZ7l7RTHYAwEr.jpg
38,29.842,0,10196,8.1,이터널 선샤인,2005-11-10,en,Eternal Sunshine of the Spotless Mind,https://image.tmdb.org/t/p/w500/ibw3MvF2GLHVcPJd2PDtOQcMDPq.jpg,0,"조엘은 아픈 기억만을 지워준다는 라쿠나사를 찾아가 헤어진 연인 클레멘타인의 기억을 지우기로 결심한다. 기억이 사라져 갈수록 조엘은 사랑이 시작되던 순간, 행복한 기억들, 가슴 속에 각인된 추억들을 지우기 싫어지기만 하는데... 당신을 지우면 이 아픔도 사라질까요? 사랑은 그렇게 다시 기억된다.",https://image.tmdb.org/t/p/w500/bTxotFLkfgjo3mBFUy5U7Te7yXT.jpg
